,i,name,SMILES
0,0,H(14) + O2(2) <=> OH(15) + O(5),[H]+[O][O]_[OH]+[O]
1,1,H2(13) + O(5) <=> H(14) + OH(15),[H][H]+[O]_[H]+[OH]
2,2,H2(13) + OH(15) <=> H2O(8) + H(14),[H][H]+[OH]_O+[H]
3,3,OH(15) + OH(15) <=> H2O(8) + O(5),[OH]+[OH]_O+[O]
4,4,H2(13) <=> H(14) + H(14),[H][H]_[H]+[H]
5,5,Ar + H2(13) <=> Ar + H(14) + H(14),[Ar]+[H][H]_[Ar]+[H]+[H]
6,6,H2(13) + He <=> H(14) + H(14) + He,[H][H]+[He]_[H]+[H]+[He]
7,7,O(5) + O(5) <=> O2(2),[O]+[O]_[O][O]
8,8,Ar + O(5) + O(5) <=> Ar + O2(2),[Ar]+[O]+[O]_[Ar]+[O][O]
9,9,He + O(5) + O(5) <=> He + O2(2),[He]+[O]+[O]_[He]+[O][O]
10,10,H(14) + O(5) <=> OH(15),[H]+[O]_[OH]
11,11,H2O(8) <=> H(14) + OH(15),O_[H]+[OH]
12,12,H2O(8) + H2O(8) <=> H2O(8) + H(14) + OH(15),O+O_O+[H]+[OH]
13,13,H(14) + O2(2) <=> HO2(16),[H]+[O][O]_[O]O
14,14,H(14) + HO2(16) <=> H2(13) + O2(2),[H]+[O]O_[H][H]+[O][O]
15,15,H(14) + HO2(16) <=> OH(15) + OH(15),[H]+[O]O_[OH]+[OH]
16,16,O(5) + HO2(16) <=> OH(15) + O2(2),[O]+[O]O_[OH]+[O][O]
17,17,OH(15) + HO2(16) <=> H2O(8) + O2(2),[OH]+[O]O_O+[O][O]
18,18,HO2(16) + HO2(16) <=> H2O2(17) + O2(2),[O]O+[O]O_OO+[O][O]
19,19,H2O2(17) <=> OH(15) + OH(15),OO_[OH]+[OH]
20,20,H2O2(17) + H(14) <=> H2O(8) + OH(15),OO+[H]_O+[OH]
21,21,H2O2(17) + H(14) <=> H2(13) + HO2(16),OO+[H]_[H][H]+[O]O
22,22,H2O2(17) + O(5) <=> OH(15) + HO2(16),OO+[O]_[OH]+[O]O
23,23,H2O2(17) + OH(15) <=> H2O(8) + HO2(16),OO+[OH]_O+[O]O
24,24,H(14) + HO2(16) <=> H2O(8) + O(5),[H]+[O]O_O+[O]
25,25,H(14) + HO2(16) <=> H2O2(17),[H]+[O]O_OO
26,26,OH(15) + OH(15) <=> H2(13) + O2(2),[OH]+[OH]_[H][H]+[O][O]
27,27,H2O(8) + O(5) <=> H2(13) + O2(2),O+[O]_[H][H]+[O][O]
28,28,H2O2(17) + O(5) <=> H2O(8) + O2(2),OO+[O]_O+[O][O]
29,29,OH(15) + O(5) <=> HO2(16),[OH]+[O]_[O]O
30,30,C2H4(11) + O(5) <=> CH3(18) + HCO(19),C=C+[O]_[CH3]+[CH]=O
31,31,C2H4(11) + O(5) <=> CH3CO(20) + H(14),C=C+[O]_C[C]=O+[H]
32,32,C2H4(11) + O(5) <=> CH2CHO(21) + H(14),C=C+[O]_[CH2]C=O+[H]
33,33,C2H4(11) + O(5) <=> C2H3(22) + OH(15),C=C+[O]_[CH]=C+[OH]
34,34,C2H4(11) + O(5) <=> CH2O(9) + CH2(23),C=C+[O]_C=O+[CH2]
35,35,C2H4(11) + O(5) <=> CH2CO(24) + H2(13),C=C+[O]_C=C=O+[H][H]
36,36,C2H4(11) + O(5) <=> CH4(10) + CO(6),C=C+[O]_C+[C-]#[O+]
37,37,C2H4(11) + O(5) <=> C2H2(25) + H2O(8),C=C+[O]_C#C+O
38,38,CH2(23) + H(14) <=> CH3(18),[CH2]+[H]_[CH3]
39,39,CH2CHO(21) <=> CH2CO(24) + H(14),[CH2]C=O_C=C=O+[H]
40,40,CH3CO(20) <=> CH2CO(24) + H(14),C[C]=O_C=C=O+[H]
41,41,C2H2(25) + H(14) <=> C2H3(22),C#C+[H]_[CH]=C
42,42,C2H2(25) + HO2(16) <=> CH2CO(24) + OH(15),C#C+[O]O_C=C=O+[OH]
43,43,C2H2(25) + OH(15) <=> CH2CO(24) + H(14),C#C+[OH]_C=C=O+[H]
44,44,CH2(23) + CH2(23) <=> C2H2(25) + H(14) + H(14),[CH2]+[CH2]_C#C+[H]+[H]
45,45,C2H3(22) + OH(15) <=> CH3(18) + HCO(19),[CH]=C+[OH]_[CH3]+[CH]=O
46,46,C2H3(22) + OH(15) <=> CH3CO(20) + H(14),[CH]=C+[OH]_C[C]=O+[H]
47,47,CH2CHO(21) + H(14) <=> CH3(18) + HCO(19),[CH2]C=O+[H]_[CH3]+[CH]=O
48,48,CH2CHO(21) + H(14) <=> CH3CO(20) + H(14),[CH2]C=O+[H]_C[C]=O+[H]
49,49,CH3CO(20) + H(14) <=> CH3(18) + HCO(19),C[C]=O+[H]_[CH3]+[CH]=O
50,50,CH2(23) + C2H3(22) <=> C2H2(25) + CH3(18),[CH2]+[CH]=C_C#C+[CH3]
51,51,CH2(23) + O2(2) <=> HCO(19) + OH(15),[CH2]+[O][O]_[CH]=O+[OH]
52,52,CH2CHO(21) + O2(2) <=> CH2CO(24) + HO2(16),[CH2]C=O+[O][O]_C=C=O+[O]O
53,53,C2H3(22) + O2(2) <=> C2H2(25) + HO2(16),[CH]=C+[O][O]_C#C+[O]O
54,54,C2H3(22) + O2(2) <=> CH2CO(24) + OH(15),[CH]=C+[O][O]_C=C=O+[OH]
55,55,CH3CO(20) + O2(2) <=> CH2CO(24) + HO2(16),C[C]=O+[O][O]_C=C=O+[O]O
56,56,CH(3) + OH(15) <=> HCO(19) + H(14),[CH]+[OH]_[CH]=O+[H]
57,57,CH2(23) + CH(3) <=> C2H2(25) + H(14),[CH2]+[CH]_C#C+[H]
58,58,CH3(18) + CH(3) <=> C2H3(22) + H(14),[CH3]+[CH]_[CH]=C+[H]
59,59,C2H(4) + H(14) <=> C2H2(25),[C]#C+[H]_C#C
60,60,CH(3) + O2(2) <=> HCO(19) + O(5),[CH]+[O][O]_[CH]=O+[O]
61,61,CH3CO(20) + O(5) <=> CH2CO(24) + OH(15),C[C]=O+[O]_C=C=O+[OH]
62,62,C2H3(22) + O2(2) <=> CH2CHO(21) + O(5),[CH]=C+[O][O]_[CH2]C=O+[O]
63,63,CH2CO(24) + O(5) <=> HCO(19) + HCO(19),C=C=O+[O]_[CH]=O+[CH]=O
64,64,C2H3(22) + O(5) <=> CH2CO(24) + H(14),[CH]=C+[O]_C=C=O+[H]
65,65,HCO(19) <=> CO(6) + H(14),[CH]=O_[C-]#[O+]+[H]
66,66,HCO(19) + O2(2) <=> CO(6) + HO2(16),[CH]=O+[O][O]_[C-]#[O+]+[O]O
67,67,HCO(19) + O(5) <=> CO(6) + OH(15),[CH]=O+[O]_[C-]#[O+]+[OH]
68,68,CH2(23) + O(5) => CO(6) + H(14) + H(14),[CH2]+[O]_[C-]#[O+]+[H]+[H]
69,69,CH(3) + O(5) <=> CO(6) + H(14),[CH]+[O]_[C-]#[O+]+[H]
70,70,CH3CO(20) <=> CO(6) + CH3(18),C[C]=O_[C-]#[O+]+[CH3]
71,71,CH2CHO(21) <=> CO(6) + CH3(18),[CH2]C=O_[C-]#[O+]+[CH3]
72,72,CO(6) + CH2(23) <=> CH2CO(24),[C-]#[O+]+[CH2]_C=C=O
73,73,CH2CO(24) + H(14) <=> CO(6) + CH3(18),C=C=O+[H]_[C-]#[O+]+[CH3]
74,74,C2H(4) + O(5) <=> CO(6) + CH(3),[C]#C+[O]_[C-]#[O+]+[CH]
75,75,C2H(4) + O2(2) <=> CO(6) + HCO(19),[C]#C+[O][O]_[C-]#[O+]+[CH]=O
76,76,C2H2(25) + O(5) <=> CO(6) + CH2(23),C#C+[O]_[C-]#[O+]+[CH2]
77,77,C2H2(25) + OH(15) <=> CO(6) + CH3(18),C#C+[OH]_[C-]#[O+]+[CH3]
78,78,C2H2(25) + HCO(19) <=> CO(6) + C2H3(22),C#C+[CH]=O_[C-]#[O+]+[CH]=C
79,79,CH(3) + O2(2) <=> CO(6) + OH(15),[CH]+[O][O]_[C-]#[O+]+[OH]
80,80,CH(3) + O2(2) <=> CO(6) + H(14) + O(5),[CH]+[O][O]_[C-]#[O+]+[H]+[O]
81,81,CH2(23) + O2(2) <=> CO(6) + H(14) + OH(15),[CH2]+[O][O]_[C-]#[O+]+[H]+[OH]
82,82,CH2CO(24) + CH(3) <=> CO(6) + C2H3(22),C=C=O+[CH]_[C-]#[O+]+[CH]=C
83,83,CH3CO(20) + OH(15) <=> CO(6) + CH3(18) + OH(15),C[C]=O+[OH]_[C-]#[O+]+[CH3]+[OH]
84,84,CH2CO(24) + O(5) <=> CO(6) + HCO(19) + H(14),C=C=O+[O]_[C-]#[O+]+[CH]=O+[H]
85,85,C2H(4) + OH(15) <=> CO(6) + CH2(23),[C]#C+[OH]_[C-]#[O+]+[CH2]
86,86,C2H3(22) + O(5) <=> CO(6) + CH3(18),[CH]=C+[O]_[C-]#[O+]+[CH3]
87,87,CH2(23) + HCO(19) <=> CO(6) + CH3(18),[CH2]+[CH]=O_[C-]#[O+]+[CH3]
88,88,CO(6) + O(5) <=> CO2(7),[C-]#[O+]+[O]_O=C=O
89,89,CO(6) + O2(2) <=> CO2(7) + O(5),[C-]#[O+]+[O][O]_O=C=O+[O]
90,90,CO(6) + OH(15) <=> CO2(7) + H(14),[C-]#[O+]+[OH]_O=C=O+[H]
91,91,CO(6) + HO2(16) <=> CO2(7) + OH(15),[C-]#[O+]+[O]O_O=C=O+[OH]
92,92,HCO(19) + O(5) <=> CO2(7) + H(14),[CH]=O+[O]_O=C=O+[H]
93,93,HCO(19) + HO2(16) => CO2(7) + H(14) + OH(15),[CH]=O+[O]O_O=C=O+[H]+[OH]
94,94,CH2(23) + O2(2) => CO2(7) + H(14) + H(14),[CH2]+[O][O]_O=C=O+[H]+[H]
95,95,CO2(7) + CH(3) <=> CO(6) + HCO(19),O=C=O+[CH]_[C-]#[O+]+[CH]=O
96,96,CH2CO(24) + O(5) <=> CO2(7) + CH2(23),C=C=O+[O]_O=C=O+[CH2]
97,97,C2H3(22) + O2(2) <=> CO2(7) + CH3(18),[CH]=C+[O][O]_O=C=O+[CH3]
98,98,CH(3) + O2(2) <=> CO2(7) + H(14),[CH]+[O][O]_O=C=O+[H]
99,99,CH2CO(24) + OH(15) <=> CO2(7) + CH3(18),C=C=O+[OH]_O=C=O+[CH3]
100,100,CH2CHO(21) + O(5) <=> CO2(7) + CH2(23) + H(14),[CH2]C=O+[O]_O=C=O+[CH2]+[H]
101,101,CH3CO(20) + O(5) <=> CO2(7) + CH3(18),C[C]=O+[O]_O=C=O+[CH3]
102,102,CH3CO(20) + HO2(16) <=> CO2(7) + CH3(18) + OH(15),C[C]=O+[O]O_O=C=O+[CH3]+[OH]
103,103,HCO(19) + OH(15) <=> H2O(8) + CO(6),[CH]=O+[OH]_O+[C-]#[O+]
104,104,CH3(18) + OH(15) <=> H2O(8) + CH2(23),[CH3]+[OH]_O+[CH2]
105,105,CH2(23) + OH(15) <=> H2O(8) + CH(3),[CH2]+[OH]_O+[CH]
106,106,C2H3(22) + OH(15) <=> C2H2(25) + H2O(8),[CH]=C+[OH]_C#C+O
107,107,C2H2(25) + OH(15) <=> H2O(8) + C2H(4),C#C+[OH]_O+[C]#C
108,108,CH2(23) + O2(2) <=> H2O(8) + CO(6),[CH2]+[O][O]_O+[C-]#[O+]
109,109,CH2CHO(21) + OH(15) <=> CH2CO(24) + H2O(8),[CH2]C=O+[OH]_C=C=O+O
110,110,CH3CO(20) + OH(15) <=> CH2CO(24) + H2O(8),C[C]=O+[OH]_C=C=O+O
111,111,H2O(8) + H(14) + O2(2) <=> H2O(8) + HO2(16),O+[H]+[O][O]_O+[O]O
112,112,CH2O(9) + O2(2) <=> HCO(19) + HO2(16),C=O+[O][O]_[CH]=O+[O]O
113,113,HCO(19) + HCO(19) <=> CH2O(9) + CO(6),[CH]=O+[CH]=O_C=O+[C-]#[O+]
114,114,HCO(19) + H(14) <=> CH2O(9),[CH]=O+[H]_C=O
115,115,CH2O(9) + OH(15) <=> H2O(8) + HCO(19),C=O+[OH]_O+[CH]=O
116,116,CH2O(9) + O(5) <=> HCO(19) + OH(15),C=O+[O]_[CH]=O+[OH]
117,117,CH2O(9) + HO2(16) <=> H2O2(17) + HCO(19),C=O+[O]O_OO+[CH]=O
118,118,CH3(18) + O(5) <=> CH2O(9) + H(14),[CH3]+[O]_C=O+[H]
119,119,CH3(18) + O2(2) <=> CH2O(9) + OH(15),[CH3]+[O][O]_C=O+[OH]
120,120,H2O(8) + CH(3) <=> CH2O(9) + H(14),O+[CH]_C=O+[H]
121,121,CH2CHO(21) + O2(2) => CH2O(9) + CO(6) + OH(15),[CH2]C=O+[O][O]_C=O+[C-]#[O+]+[OH]
122,122,CH2O(9) + CH(3) <=> CH2CO(24) + H(14),C=O+[CH]_C=C=O+[H]
123,123,C2H3(22) + O2(2) <=> CH2O(9) + HCO(19),[CH]=C+[O][O]_C=O+[CH]=O
124,124,C2H3(22) + O2(2) <=> CH2O(9) + CO(6) + H(14),[CH]=C+[O][O]_C=O+[C-]#[O+]+[H]
125,125,CH2(23) + OH(15) <=> CH2O(9) + H(14),[CH2]+[OH]_C=O+[H]
126,126,CH2(23) + HO2(16) <=> CH2O(9) + OH(15),[CH2]+[O]O_C=O+[OH]
127,127,CH2(23) + O2(2) <=> CH2O(9) + O(5),[CH2]+[O][O]_C=O+[O]
128,128,CH2O(9) + CH2(23) <=> CH3(18) + HCO(19),C=O+[CH2]_[CH3]+[CH]=O
129,129,CH2O(9) + C2H(4) <=> C2H2(25) + HCO(19),C=O+[C]#C_C#C+[CH]=O
130,130,CH2CO(24) + O(5) <=> CH2O(9) + CO(6),C=C=O+[O]_C=O+[C-]#[O+]
131,131,CO2(7) + CH2(23) <=> CH2O(9) + CO(6),O=C=O+[CH2]_C=O+[C-]#[O+]
132,132,CH3(18) + HCO(19) <=> CH4(10) + CO(6),[CH3]+[CH]=O_C+[C-]#[O+]
133,133,CH2O(9) + CH3(18) <=> CH4(10) + HCO(19),C=O+[CH3]_C+[CH]=O
134,134,CH3(18) + H(14) <=> CH4(10),[CH3]+[H]_C
135,135,CH4(10) + OH(15) <=> H2O(8) + CH3(18),C+[OH]_O+[CH3]
136,136,CH4(10) + O(5) <=> CH3(18) + OH(15),C+[O]_[CH3]+[OH]
137,137,CH4(10) + HO2(16) <=> H2O2(17) + CH3(18),C+[O]O_OO+[CH3]
138,138,CH4(10) + CH2(23) <=> CH3(18) + CH3(18),C+[CH2]_[CH3]+[CH3]
139,139,CH3(18) + HO2(16) <=> CH4(10) + O2(2),[CH3]+[O]O_C+[O][O]
140,140,CH3CO(20) + CH3(18) <=> CH4(10) + CH2CO(24),C[C]=O+[CH3]_C+C=C=O
141,141,CH3(18) + C2H3(22) <=> CH4(10) + C2H2(25),[CH3]+[CH]=C_C+C#C
142,142,CH4(10) + C2H(4) <=> C2H2(25) + CH3(18),C+[C]#C_C#C+[CH3]
143,143,C2H3(22) + H(14) <=> C2H4(11),[CH]=C+[H]_C=C
144,144,C2H4(11) + OH(15) <=> H2O(8) + C2H3(22),C=C+[OH]_O+[CH]=C
145,145,C2H4(11) + OH(15) <=> CH2O(9) + CH3(18),C=C+[OH]_C=O+[CH3]
146,146,C2H4(11) + O2(2) <=> C2H3(22) + HO2(16),C=C+[O][O]_[CH]=C+[O]O
147,147,CH4(10) + CH(3) <=> C2H4(11) + H(14),C+[CH]_C=C+[H]
148,148,C2H3(22) + C2H3(22) <=> C2H2(25) + C2H4(11),[CH]=C+[CH]=C_C#C+C=C
149,149,C2H4(11) + CH3(18) <=> CH4(10) + C2H3(22),C=C+[CH3]_C+[CH]=C
150,150,CH2O(9) + C2H3(22) <=> C2H4(11) + HCO(19),C=O+[CH]=C_C=C+[CH]=O
151,151,CH2(23) + CH3(18) <=> C2H4(11) + H(14),[CH2]+[CH3]_C=C+[H]
152,152,CH3(18) + C2H3(22) <=> C3H6(12),[CH3]+[CH]=C_C=CC
153,153,C3H6(12) <=> CH3(18) + C2H3(22),C=CC_[CH3]+[CH]=C
154,154,C3H6(12) + O(5) => CH2CO(24) + CH3(18) + H(14),C=CC+[O]_C=C=O+[CH3]+[H]
155,155,C3H6(12) + H(14) <=> C2H4(11) + CH3(18),C=CC+[H]_C=C+[CH3]
156,156,HCO(19) + H(14) <=> CO(6) + H2(13),[CH]=O+[H]_[C-]#[O+]+[H][H]
