,i,name,SMILES
0,0,N2,N#N
1,1,Ar,[Ar]
2,2,He,[He]
3,3,Ne,[Ne]
4,4,C7H16(1),CCCCCCC
5,5,O2(2),[O][O]
6,6,CH(3),[CH]
7,7,C2H(4),[C]#C
8,8,O(5),[O]
9,9,CO(6),[C-]#[O+]
10,10,CO2(7),O=C=O
11,11,H2O(8),O
12,12,CH2O(9),C=O
13,13,CH4(10),C
14,14,C2H4(11),C=C
15,15,C3H6(12),C=CC
16,16,H2(13),[H][H]
17,17,H(14),[H]
18,18,OH(15),[OH]
19,19,HO2(16),[O]O
20,20,H2O2(17),OO
21,21,CH3(18),[CH3]
22,22,HCO(19),[CH]=O
23,23,CH3CO(20),C[C]=O
24,24,CH2CHO(21),[CH2]C=O
25,25,C2H3(22),[CH]=C
26,26,CH2(23),[CH2]
27,27,CH2CO(24),C=C=O
28,28,C2H2(25),C#C
29,29,CH3O2(39),CO[O]
30,30,C2H6(42),CC
31,31,C2H5(43),C[CH2]
32,32,C2H5O2(44),CCO[O]
33,33,CH3CHO(46),CC=O
34,34,C2H4O(49),C1CO1
35,35,C2H3O3(54),[O]OCC=O
36,36,C3H5O(70),[CH2]C(C)=O
37,37,C3H5O3(72),CC(=O)CO[O]
38,38,NC3H7(92),[CH2]CC
39,39,IC3H7(93),C[CH]C
40,40,C3H7O2(95),CCCO[O]
41,41,C3H7O2(97),CC(C)O[O]
42,42,S(114),[CH2]CCOO
43,43,C3H5O(129),C=CC[O]
44,44,C3H5O(131),[CH2]OC=C
45,45,PC4H9(183),[CH2]CCC
46,46,SC4H9(184),C[CH]CC
47,47,S(185),CCCCO[O]
48,48,C4H8(189),C=CCC
49,49,C4H8O(215),CC1CCO1
50,50,S(220),C[CH]CCOO
51,51,S(221),[CH2]CCCOO
52,52,S(226),CC(CCOO)O[O]
53,53,S(239),CC(C[CH]OO)OO
54,54,S(253),CC(CC=O)OO
55,55,C4H6O(264),C=CC(C)=O
56,56,C4H8O(265),CCCC=O
57,57,C5H11(421),[CH2]CCCC
58,58,C5H11(422),C[CH]CCC
59,59,C5H10(424),C=CCCC
60,60,S(436),CCCCCO[O]
61,61,S(438),CCCC(C)O[O]
62,62,S(443),CC[CH]CCOO
63,63,S(444),C[CH]CCCOO
64,64,S(448),C[CH]CC(C)OO
65,65,S(454),CC1CCCO1
66,66,S(504),[O]CC=O
67,67,C7H15(679),CC[CH]CCCC
68,68,C7H15(680),CCC[CH]CCC
69,69,C7H15(682),C[CH]CCCCC
70,70,C7H15(683),[CH2]CCCCCC
71,71,S(734),CCCCC=O
72,72,C7H14(754),CC=CCCCC
73,73,S(763),CCCCCC(C)O[O]
74,74,S(766),CCCCCC(C)[O]
75,75,S(781),CCC[CH]CC(C)OO
76,76,S(782),CC[CH]CCC(C)OO
77,77,S(785),CCCCCC(C)OO
78,78,C7H14(808),CCC=CCCC
79,79,C6H12(809),C=CCCCC
80,80,S(816),CCCCC(CC)O[O]
81,81,S(818),CCCCC([O])CC
82,82,S(834),[CH2]CC(CCCC)OO
83,83,S(835),C[CH]CCC(CC)OO
84,84,S(837),CCCCC(CC)OO
85,85,C5H9O(848),C[C]1CCCO1
86,86,S(858),CCCC(CCC)O[O]
87,87,S(867),C[CH]CC(CCC)OO
88,88,S(889),CCCC(CC(C)O[O])OO
89,89,S(907),CCCC(CC(C)=O)OO
90,90,S(910),CCCC(=O)CC(C)OO
91,91,S(912),CCCC(CC(C)OO)O[O]
92,92,S(913),C[CH]CC(CC(C)OO)OO
93,93,S(942),CCCC(=O)CC(C)[O]
94,94,C5H9O(945),C=C([O])CCC
95,95,S(948),[CH2]C(=O)CC(C)OO
96,96,S(969),CCCCCCCO[O]
97,97,S(970),CCCCCCC[O]
98,98,S(979),CCCCCCC=O
99,99,S(982),CCC[CH]CCCOO
100,100,S(985),CCCCCCCOO
101,101,S(1004),CCCCC(CCO[O])OO
102,102,S(1011),CCC1CCC(C)O1
103,103,S(1025),CCC(CCC(C)OO)O[O]
104,104,S(1045),[CH2]CC(CCC(C)OO)OO
105,105,S(1048),CCC(CCC(C)O[O])OO
106,106,S(1049),CCC(CCC(C)OO)OO
107,107,S(1270),CCCCCC[CH]O
108,108,S(1273),CCC[CH]CCCO
109,109,S(1275),C[CH]CCCCCO
110,110,C4H8(1305),C[C]CC
111,111,S(1307),CCCC(CCCO)O[O]
112,112,S(1325),C[CH]CC(CCCO)OO
113,113,S(1334),CC=CCCC
114,114,S(1335),C=CC(C)CCC
115,115,S(1336),C=CC(CC)CC
116,116,S(1347),CC[C]CCCC
117,117,S(1348),CCC[C]CCC
118,118,S(1370),CC(CC(CCCO)OO)O[O]
119,119,S(1406),CC(CC(=O)CCCO)OO
120,120,S(1469),CC(CC(CC(C)OO)OO)O[O]
121,121,S(1484),CCCC([O])CC(C)=O
122,122,S(1522),CC(CC(=O)CC(C)OO)OO
123,123,S(1576),CC([O])CC(=O)CCCO
124,124,S(1580),C=C([O])CCCO
125,125,S(1727),CC([O])CC(=O)CC(C)OO
126,126,S(1774),CCCCC(=O)CCOO
127,127,S(1796),CCCCC(=O)CC[O]
128,128,S(1806),C=C([O])CCCC
129,129,S(1921),C[CH]CCC(C)=O
130,130,S(1929),CCCCC(=O)CO[O]
131,131,S(1930),CCCC(=O)CO[O]
132,132,S(1947),CCCC=C([O])COO
133,133,S(1955),CC[CH]C(=O)COO
134,134,S(1982),CCC=CC(=O)COO
135,135,S(1989),CCCC(O[O])C(=O)COO
136,136,S(1990),CCC(O[O])C(=O)COO
137,137,S(2038),CC(=O)CCC(C)O[O]
138,138,S(2039),CC(=O)CCCO[O]
139,139,S(2057),CC([O])=CCC(C)OO
140,140,S(2095),CC(=O)C(CC(C)OO)O[O]
141,141,S(2120),C=C([O])C(CC(C)OO)OO
142,142,S(2158),CC1CC(OO)C(=O)CO1
143,143,S(2212),C[C]CCCC
144,144,S(2324),[CH2]C(O)=CCC
145,145,S(2329),CCC=C(C)[O]
146,146,S(2331),[CH2]CCC(C)=O
147,147,S(2340),CCC=C(O)CO[O]
148,148,S(2372),[CH2]C(=O)C(CC)OO
149,149,S(2399),C=C(O)C(CC)O[O]
150,150,S(2404),CCC(OO)C(=O)CO[O]
151,151,S(2412),CCC1OOC[C]1O
152,152,S(2447),CCC(O[O])C(C)=O
153,153,S(2496),[CH2]CC(OO)C(C)=O
154,154,S(3146),C=C([O])C[O]
155,155,S(3152),O=C1COC1
156,156,S(7940),[CH2]C(=O)COO
157,157,S(7974),[O]OCC(=O)COO
158,158,S(8009),C[C]CCC
159,159,S(8121),CC(=O)CCC=O
160,160,S(8345),CCCC(CCCOO)O[O]
161,161,S(8362),CCCC(C[CH]COO)OO
162,162,S(8372),CCCC(CC1CO1)OO
163,163,S(8394),CCCC([O])CC1CO1
164,164,S(8397),[CH2]C1CO1
165,165,S(8495),C=COCO[O]
166,166,S(8496),[CH]1COOCO1
167,167,S(8497),[CH2]C1OCOO1
168,168,S(8608),CC1([O])CCCOO1
169,169,S(8641),O=C1CCCOO1
170,170,S(8850),C=CC(C)CC
171,171,S(8861),C[C]C(CC)CC
172,172,S(8919),C[C]C(C)CCC
173,173,S(10080),CC(=O)CC[CH]O
174,174,S(10086),[O]OCC(=O)CCCO
175,175,S(10517),CC(CC(=O)CO[O])OO
176,176,S(10533),CC(C=C([O])COO)OO
177,177,S(11349),CC1OC1C(=O)COO
178,178,S(11360),CC1OC=C(COO)O1
179,179,S(11403),CC1OC=C(C[O])O1
180,180,S(11790),CC1O[C]=C(CO)O1
181,181,S(11813),CC1OC(CO)=C(O[O])O1
182,182,S(11961),CC1O[C](CO)C(=O)O1
183,183,S(11972),CC1OC(=O)C(=CO)O1
184,184,S(12008),CC1OC(=O)C(CO)(O[O])O1
185,185,S(12446),C[C]C(C)CC
